PAMID,CountryCode,Country,PAM No,Name,Objective,Description,Type of instrument,Primary EU policy responsible objectives,Secondary EU policy responsible objectives,Tertiary EU policy responsible objectives,Related EU policies,Affected GHG,Link to EU Emissions Trading Scheme ETS,Targeted sectors,Status,Start year,End year,Comment on implementation period,Type of implementing entities,Name of implementing entities,Projection scenario in which the PAM is included,Inclusion of estimate in projections,Indicators to monitor and evaluate implementation,2015 total kt CO2 equivalent per year:number,2015 EU ETS kt CO2:number,2015 non ETS kt CO2:number,2020 total kt CO2:number,2020 EU ETS kt CO2:number,2020 non ETS kt CO2:number,2025 total kt CO2:number,2030 total kt CO2:number,Average emission reduction kt CO2,Impact included in another policy or policy package,Other policy or policy package in which the impact is included,Reference source of estimation ,Years for which the reduction applies,Basis for estimate,Factors affected by PAM,Inclusion of savings related to EU policies,Costs in EUR per tonne CO2 equivalent reduced sequestered,Absolute costs per year in EUR,Description _ basis for cost estimate,Documentation _ source of cost estimate,Interaction with other policies and measures at the national or EU level,Details on policy interactions,Non GHG_mitigation benefits,Additional comment,Name or organisation providing information on policy,Check of mandatory reporting,Comments by MS
AT-RES-002,AT,Austria,02_B,thermal insulation of existing buildings ,This measure group analyses the effects of the enforced thermal restoration of buildings. A WOM scenario was taken as a fictive reference scenario where thermal restoration had no effects.,"
(1) OIB guideline 6 (Energy savings and thermal insulation)
(2) National and funding programmes 
(3) Building restoration initiative for private buildings to improve the energy performance (restoration cheques)
(4) Building restoration initiative for commercial and industrial buildings to improve the energy performance
",Economic,Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),,,Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),CO2,non EU ETS,"Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2013,2030,,National government,,with existing measures (WEM),,Households A.1 Specific CO2 emissions of households t CO2 / dwelling,267.7962450791,,,425.7720181701,,,,635.4005108753,,,,"modell: INVERT/EE-Lab (Energy Economics Group of the Technical University of Vienna, TU WIEN 2013): domestic heating and hot water supply ",,,,,,,,,yes,"linkage with other measures in the building sector, as they all target the increase of energy efficiency in households",reduced energy consumption,,,OK,
AT-RES-003,AT,Austria,03_B,change of heating systems (Heizsystemerneuerung),This measure group includes measures that affect the impacts of the change of heating systems in the WEM scenario. The WEM scenario was compared to a fictive WOM scenario where heating systems were not replaced or subsidised. ,"(1) Promotion of the replacement of heating systems (Heizkesseltausch)
(2) District heating and district cooling Act
(3) Funding for wood heating systems and solar heating systems
(5) Adaptation of the mineral oil tax for heating oil
(4) Federal States provisions for heating equipment and regional measures",Economic,National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2010,2030,,National government,,with existing measures (WEM),,Households A.1 Specific CO2 emissions of households t CO2 / dwelling,310.8369537584,,,706.5323379963,,,,1651.3991886687,,,,"modell: INVERT/EE-Lab (Energy Economics Group of the Technical University of Vienna, TU WIEN 2013): domestic heating and hot water supply ",,,,,,,,,yes,"linkage with other measures in the building sector, as they all target the increase of energy efficiency in households",reduced energy consumption,,,OK,
AT-RES-004,AT,Austria,04_B,Ecodesign requirements for energy using products,It consists of defining minimum ecodesign requirements for specific energy-using products. These products have to be certified with the CE label and have to meet the minimum requirements defined in the EU directive. ,"Thereby, the whole product life cycle is regarded, starting with the choice of raw material until the final waste disposal. The product design must consider environmental impacts (resource use and energy consumption, emissions and recyclability) and safety-related requirements.","Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Energy consumption: Ecodesign Directive 2009/125/EC (amending 2005/32/EC),,,Energy consumption: Ecodesign Directive 2009/125/EC (amending 2005/32/EC),CO2,non EU ETS,"Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2007,,Implementation: 2007/2011,National government,,with existing measures (WEM),,Households A.1 Specific CO2 emissions of households t CO2 / dwelling,,,,,,,,,,,,,,,,,,,,,yes,"linkage with other measures in the building sector, as they all target the increase of energy efficiency in households",reduced energy consumption,,,OK,
AT-RES-005,AT,Austria,05_B,End-use efficiency and energy services (Directive 2006/32/EC),"This directive aims at making the end use of energy more economic and efficient. Member States must adopt and achieve an indicative energy saving target of 9 % by 2016 in the framework of a national energy efficiency action plan (NEEAP). Furthermore, energy saving targets for the public sector have to be set and harmonised indicators and benchmarks for energy efficiency have to be established. ",see accompanying report,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),,,Energy consumption: End-use efficiency and energy services 2006/32/EC repealing SAVE Directive (Directive 93/76/EEC),CO2,non EU ETS,"Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2007,,Implementation: 2007/2011,"National government, Regional entities",,with existing measures (WEM),,Households A.1 Specific CO2 emissions of households t CO2 / dwelling,,,,,,,,,,,,,,,,,,,,,yes,"linkage with other measures in the building sector, as they all target the increase of energy efficiency in households",reduced energy consumption,,,OK,
AT-RES-006,AT,Austria,06_B,Recast Directive of energy performance of buildings,"The recast of the Directive on the energy performance of buildings (2010/31/EC) was released in order to improve the efficiency of the previous building regulation and to counteract deficiencies in national implementations. The mechanisms remained the same: Definition of calculation methods for the total energy efficiency and minimum requirements, Specifications for the creation, submission and notice of the energy performance certificate, Inspections of heating and cooling systems.",Austria has implemented the buildings directive and introduced several measures like the ‘Energy Certification Providing Act’ (‘Energieausweisvorlagegesetz – EAVG’) and the Austrian Institute of Construction (OIB) Engineering Guidelines have been adopted to maximise energy efficiency in new and existing buildings in Austria,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Energy consumption: Recast of the Energy performance of buildings (Directive 2010/31/EC) amending 2002/91/EC,,,Energy consumption: Recast of the Energy performance of buildings (Directive 2010/31/EC) amending 2002/91/EC,CO2,non EU ETS,"Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2006,,Implementation: 2006/2012,National government,,with existing measures (WEM),,Households A.1 Specific CO2 emissions of households t CO2 / dwelling,,,,,,,,,,,,,,,,,,,,,yes,"linkage with other measures in the building sector, as they all target the increase of energy efficiency in households",reduced energy consumption,,,OK,
AT-RES-007,AT,Austria,07_B,energy labelling of household appliances ,"The regulation specifies different energy classes, starting from A+++ (the best class) to D (the poorest class). As in the amendment of the Eco-design directive, the scope was expanded on a larger group of energy consuming products as well. The energy label helps consumers to compare products to be purchased in terms of their energy consumption.",see accompanying report,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Energy consumption: Directives on energy labelling of household appliances,,,Energy consumption: Directives on energy labelling of household appliances,CO2,non EU ETS,"Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2011,,,Companies / businesses / industrial associations,,with existing measures (WEM),,Households A.1 Specific CO2 emissions of households t CO2 / dwelling,,,,,,,,,,,,,,,,,,,,,yes,"linkage with other measures in the building sector, as they all target the increase of energy efficiency in households",reduced energy consumption,,,OK,
AT-RES-008,AT,Austria,08_B,"Enforced thermal insulation (Sanierung)
",increasing energy efficiency,"(1) Restoration measures in residential buildings and non-residential buildings by granting subsidies
(2) Thermal insulation of old buidings based on building codes 
(3)Restoration guidelines in regulative law","Economic, Voluntary/ negotiated agreement, Fiscal, Economic",Energy consumption: Recast of the Energy performance of buildings (Directive 2010/31/EC) amending 2002/91/EC,,,Energy consumption: Recast of the Energy performance of buildings (Directive 2010/31/EC) amending 2002/91/EC,CO2,non EU ETS,"Energy use - residential, Energy use -Industry / Construction, Energy supply",planned,2013,,,"National government, Regional entities",,with additional measures (WAM),,Households A.1 Specific CO2 emissions of households t CO2 / dwelling,,,,205,,,,,,,,"modell: INVERT/EE-Lab (Energy Economics Group of the Technical University of Vienna, TU WIEN 2013): domestic heating and hot water supply ",,,,,,,,,yes,"linkage with other measures in the building sector, as they all target the increase of energy efficiency in households",reduced energy consumption,,,OK,
AT-RES-009,AT,Austria,09_B,Promote efficient and climate friendly heating systems,promote highly efficient heating systems,implementation of a law regarding the obligation for the use of highly efficient heating systems,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Energy consumption: Recast of the Energy performance of buildings (Directive 2010/31/EC) amending 2002/91/EC,,,Energy consumption: Recast of the Energy performance of buildings (Directive 2010/31/EC) amending 2002/91/EC,CO2,non EU ETS,"Energy use - residential, Energy use -Industry / Construction, Energy supply",planned,2013,,,"National government, Regional entities",,with additional measures (WAM),,Households A.1 Specific CO2 emissions of households t CO2 / dwelling,,,,75,,,,,,,,"modell: INVERT/EE-Lab (Energy Economics Group of the Technical University of Vienna, TU WIEN 2013): domestic heating and hot water supply ",,,,,,,,,yes,"linkage with other measures in the building sector, as they all target the increase of energy efficiency in households",reduced energy consumption,,,OK,
AT-IND-001,AT,Austria,01_IP,Implementation of the EU F-gas regulation,reduction of F-gas emissions mainly from stationary applications through application- specific requirements covering all stages of the life-cycle of F-gases,see accompanying report,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Industrial Process: F-gas regulation (Regulation 842/2006),,,Industrial Process: F-gas regulation (Regulation 842/2006),"HFC, PFC, SF6",non EU ETS,"Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2007,,,National government,,with existing measures (WEM),,no specific indicator is used to monitor this policy (values based on economic assumption),,,,,,,,,,,,,,,,,,,,,yes,interaction with other F-gas measures,substitution of ozone depleting substances,,,OK,
AT-IND-002,AT,Austria,02_IP,Prohibition and restriction of the use of (partly) fluorinated hydrocarbons and SF6 ,"The use of HFCs, PFCs and SF6 for all sectors covered in the National Inventory are banned or restricted. In case of exception a strict reporting and documentation is required","This PaM is part of the national implementation of the EU F-gas regulation. It considers the reduction of the use of HFCs, PFCs, and SF6.","Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Industrial Process: F-gas regulation (Regulation 842/2006),,,Industrial Process: F-gas regulation (Regulation 842/2006),"HFC, PFC, SF6",non EU ETS,"Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2003,,,National government,,with existing measures (WEM),,no specific indicator is used to monitor this policy,,,,,,,,,,,,,,,,,,,,,"yes, 01_IP and 15a  agreement","It is part of the  tio l implementation of the EU F-gas regulation together with PaM 01_IP. The further, measures in public procurement (abandonment of products containing F-gases) and public funding (criteria for federal fi ncial support to housing construction) were implemented in the agreement 15a B-VG (between federation and Länder).",substitution of ozone depleting substances,,,OK,
AT-IND-003,AT,Austria,03_IP,Reducing HFC emissions from air conditioning in motor vehicles ,Refrigerants in motor vehicles with a high GWP shall be banned successively.,This PaM is the national implementation fo the EU directive for HFCs in mobile air conditions. Car manufacturers are no longer allowed to use refrigerants with a GWP (global warming potential) higher than 150 in new passenger cars. This affects the period from 2011 – 2017.,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Industrial Process: HFCs in mobile air conditioning Directive 2006/40/EC,,,Industrial Process: HFCs in mobile air conditioning Directive 2006/40/EC,HFC,non EU ETS,"Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2007,,,National government,,with existing measures (WEM),,no specific indicator is used to monitor this policy,,,,,,,,,,,,,,,,,,,,,yes,interaction with other F-gas measures,substitution of ozone depleting substances,,,OK,
